cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
HHHLLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHH\HHHLLHH_9.json;62471,94;48908,80;1,2773;8529,61;200;2414,94
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_1.json;15917,27;14312,08;1,1122;2784,66;200;642,53
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_10.json;16470,95;14914,65;1,1043;4021,74;200;636,43
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_2.json;16674,16;14926,23;1,1171;3322,86;200;606,73
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_3.json;15607,99;14231,83;1,0967;3047,98;200;604,93
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_4.json;14820,83;14820,83;1,0000;1125,13;200;643,71
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_5.json;16129,45;16129,45;1,0000;1236,84;200;601,53
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_6.json;17313,52;15048,25;1,1505;2716,70;200;626,83
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_7.json;15433,15;15409,34;1,0015;2595,61;200;665,49
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_8.json;16479,75;16479,75;1,0000;2347,05;200;636,04
HHHLLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLHL\HHHLLHL_9.json;16340,85;15160,11;1,0779;3241,80;200;624,50
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_1.json;53236,99;47395,32;1,1233;10158,30;200;200,74
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_10.json;55031,79;53148,75;1,0354;9668,05;200;195,50
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_2.json;63128,83;53607,72;1,1776;15096,38;200;195,67
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_3.json;56293,24;52532,98;1,0716;11940,48;200;194,14
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_4.json;64212,66;50672,25;1,2672;13029,91;200;203,85
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_5.json;58822,13;53567,21;1,0981;12040,62;200;200,09
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_6.json;52744,38;47202,23;1,1174;9538,93;200;189,09
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_7.json;53401,57;45870,84;1,1642;4426,97;200;201,45
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_8.json;53359,42;47904,89;1,1139;13123,56;200;205,19
HHHLLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLH\HHHLLLH_9.json;60894,46;53583,34;1,1364;13688,27;200;210,40
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_1.json;14993,56;13658,04;1,0978;129,04;200;84,34
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_10.json;16268,97;15066,30;1,0798;69,34;200;91,75
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_2.json;13076,56;11788,35;1,1093;0,00;200;85,89
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_3.json;14583,21;14098,50;1,0344;405,62;200;84,79
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_4.json;14767,20;14098,26;1,0474;191,46;200;86,69
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_5.json;16497,39;14629,39;1,1277;82,02;200;81,64
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_6.json;15071,04;11912,20;1,2652;151,97;200;83,38
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_7.json;17277,11;15838,21;1,0908;73,13;200;82,57
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_8.json;17868,05;16447,30;1,0864;84,17;200;80,68
HHHLLLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHHLLLL\HHHLLLL_9.json;13520,22;12259,79;1,1028;0,00;200;81,19
HHLHHHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\HHLHHHH\HHLHHHH_1.json;10359,02;8697,85;1,1910;1681,55;200;2453,17
